id,adresse,cp,ville,pop
18500007,A71Aire de Ste Thorette,18500,Marmagne,A
18520001, Rue Maurice Bourbon,18520,AVORD,R
18570002,Rue des Acacias,18570,La Chapelle-Saint-Ursin,R
18600001,ROUTE DE BOURGES,18600,SANCOINS,R
18600002, Route de Bourges,18600,SANCOINS,R
18600003,Route de Saint Pierre Le Moutier,18600,SANCOINS,R
18700001,AVENUE EUGENE CASELLA,18700,AUBIGNY SUR NERE,R
18700003,Avenue de Paris,18700,AUBIGNY-SUR-NERE,R
18800001,PLACE DU CHAMP DE FOIRE,18800,BAUGY,R
19000002,14 RUE DU DOCTEUR RAMON,19000,TULLE,R
19000003,1 Rue de Baladour,19000,TULLE,R
19000005,12 Avenue Alsace-Lorraine,19000,Tulle,R
19000006,2 QUAI CONTINSOUZA,19000,TULLE,R
19000007,90 Avenue Ribot,19100,Brive-la-Gaillarde,R
19000008,12 AV ALSACE LORRAINE,19000,TULLE,R
19100001,35 Avenue Abbé Jean Alvitre,19100,BRIVE-LA-GAILLARDE,R
19100002,108 Avenue Pierre Sémard,19100,Brive-la-Gaillarde,R
19100005,BOULEVARD BRUNE,19100,Brive-la-Gaillarde,R
19100006,112 Avenue Président John F. Kennedy,19100,Brive-la-Gaillarde,R
19100009,Impasse du Pilou,19100,BRIVE-LA-GAILLARDE,R
19100010,147 Avenue Ribot,19100,BRIVE-LA-GAILLARDE,R
19100011,86 Avenue Président John Kennedy,19100,Brive-la-Gaillarde,R
19100014,Boulevard Brune,19100,BRIVE-LA-GAILLARDE,R
19100015,112 Avenue Président John Kennedy,19100,BRIVE-LA-GAILLARDE,R
19100016,108 AVENUE PIERRE SEMARD,19100,BRIVE,R
19100017,90 AV RIBOT,19100,BRIVE LA GAILLARDE,R
19110001,av victor hugo,19110,BORT-LES-ORGUES,R
19120001,LE VEYROU,19120,Altillac,R
19130001,15 av Général de Gaulle,19130,Saint-Aulaire,R
19130002,AVENUE RAYMOND POINCARE,19130,OBJAT,R
19130003, Route de Brive,19130,OBJAT,R
19130004,Lieu-dit Bridal,19130,Objat,R
19140001,Route de Limoges,19140,UZERCHE,R
19140002,5 Route de Limoges,19140,UZERCHE,R
19140003,Lieu-dit les Paturaux,19140,Uzerche,R
19150001, Avenue de Coulaud,19150,LAGUENNE,R
19150002,1 Avenue de Coulaud,19150,Laguenne,R
19160001,BOULEVARD DU PENDANT,19160,Neuvic,R
19170001,RUE DE LA REPUBLIQUE,19170,Bugeat,R
19190001,RD 921,19190,BEYNAT,R
19190002,RD15 LE BOURG,19190,LE PESCHER,R
19200002,56 Avenue du Général Leclerc,19200,USSEL,R
19200003,Route de Ponty,19200,Ussel,R
19200004,10 Rue Pierre Semard,19200,USSEL,R
19200006,8 Place de la Victoire,19200,USSEL,R
19210001, Avenue du 8 Mai 1945,19210,LUBERSAC,R
19210002,ZONE DE TOUVENT,19210,LUBERSAC,R
19230001,55 Avenue du Midi,19230,POMPADOUR,R
19240002,8 AV 11 NOVEMBRE,19240,Varetz,R
19240003,CD N°9 RTE DU SAILLANT,19240,ALLASSAC,R
19250001,84 Avenue Limousine,19250,Meymac,R
19250002,ROUTE D'EGLETONS,19250,MEYMAC,R
19250003,RUE DU PAS REDON,19250,MEYMAC,R
19250005,ROUTE DE TULLE,19250,Meymac,R
19260002,Route d'Egletons,19260,TREIGNAC,R
19270003,Lieu-dit La Rivière,19270,Donzenac,R
19300001,Avenue Charles de Gaulle,19300,ÉGLETONS,R
19300002,Avenue Charles de Gaulle,19300,ÉGLETONS,R
19300003,CHAULAUDRE,19300,Égletons,R
19300004,"72, route de Nationale 89",19300,ÉGLETONS,R
19316001,"14,rue louis taurisson",19100,BRIVE-LA-GAILLARDE,R
19330001,Les Alleux,19330,FAVARS,R
19330002,Lieu-dit La Chapelle,19330,Saint-Mexant,R
19340001,12 Rue du Commerce,19340,Eygurande,R
19340002,STATION ELAN - RN 89,19340,EYGURANDE,R
19340003,Viaduc du Chavanon,19340,Merlines,A
19350001,rue du mayne,19350,Chabrignac,R
19360001,RUE PASTEUR,19360,Malemort-sur-Corrèze,R
19360002,Route de Meyssac,19360,COSNAC,R
19400002,3 Avenue Pierre et Marie Curie,19400,Argentat,R
19400004,6 rue Douvisis,19400,ARGENTAT,R
19400005,"25, avenue des XAINTRIES",19400,ARGENTAT,R
19460002,42 route nationale 120,19460,NAVES,R
19490002,la chapeloune,19490,STE FORTUNADE,R
19500002,Route de Collonges,19500,Meyssac,R
19510001,A 20 AIRE DE LA PORTE DE CORREZE,19510,Masseret,A
19510002,AUTOROUTE A20 - AIRE DE PORTE DE CORREZE,19510,MASSERET,A
19600001,Les Combettes,19270,Ussac,R
19600002,AIRE DU PAYS DE BRIVE A 89,19600,Saint-Pantaléon-de-Larche,A
19600003,Lieu-dit La Croix-Blanche,19600,Nespouls,R
19700001,Avenue Jean Vinatier,19700,SEILHAC,R
19800001,La Bitarelle,19800,Gimel-les-Cascades,R
19800002,AUTOROUTE A 89  AIRE DE LA CORREZE,19800,VITRAC-SUR-MONTANE,A
19800004,rn 89,19800,EYREIN,R
20000002,Route du Bord de Mer,20090,Ajaccio,R
20000006,Aspretto,20000,AJACCIO,R
20000007,65 COURS LUCIEN BONAPARTE,20000,AJACCIO,R
20090001,Boulevard Louis Campi,20090,Ajaccio,R
20090002,Quartier St Joseph,20090,Ajaccio,R
20090004,avenue napoleon III,20000,AJACCIO,R
20090005,109 cours napoleon,20090,AJACCIO,R
20090007,Route d'Aspretto,20090,Ajaccio,R
20090011,BODICCIONE,20090,Ajaccio,R
20090012,Avenue du Président Kennedy,20090,Ajaccio,R
20090013,HLM SAINT JEAN - Avenue Président KENNEDY,20090,Ajaccio,R
20100001,Place Saint Damien,20100,Sartène,R
20100003,ZI RIZZANESE,20100,Sartène,R
20100005,Ld bellagamba,20100,SARTENE,R
20110001,quartier saint joseph,20110,PROPRIANO,R
20110003,San Giuseppu,20110,Propriano,R
20111001,Tiuccia,20111,Casaglione,R
20113001,Marinca - RD 157,20113,Olmeto,R
20113002,Arconchello,20113,OLMETO,R
20115001,Hotel des Calanches,20115,Piana,R
20118001,Résidence de la Plage - RD 81,20118,SAGONE,R
20118004,Esigna plage,20118,Coggia,R
20129001,SUARALTA,20129,BASTELICACCIA,R
20130002,Rue de la République,20130,CARGèSE,R
20131001,RTE N 196  LANCCIATO PADULELLI,20131,PIANOTTOLI-CALDARELLO,R
20131002,Station TOTAL - RN 196,20131,PIANOTTOLI-CALDARELLO,R
20137001,Station St Cyprien - Lecci,20137,PORTO-VECCHIO,R
20137003,Route de Bonifacio,20137,PORTO-VECCHIO,R
20137004,Station TOTAL La Trinité - RN 198 - Pitrera,20137,PORTO-VECCHIO,R
20137005,Route de Bonifacio,20137,Porto-Vecchio,R
20137006,Route de Bastia,20137,Porto-Vecchio,R
20137007,Station TOTAL - Quartier La Poretta,20137,PORTO-VECCHIO,R
20137008,358 San Cipriano,20137,Lecci,R
20137009,Les 4 Chemins BP115,20137,Porto-Vecchio,R
20140001,RTE N 196,20140,Petreto-Bicchisano,R
20144002,LIEUDIT CAVO ZONZA,20144,Zonza,R
20145001,RN 198 - Solenzara,20145,Sari-Solenzara,R
20145002,Port de Solenzara,20145,SARI-SOLENZARA,R
20147001,Trajinu,20147,Serriera,R
20150003,Route de Piana,20150,PORTO,R
20153002,I BAGNI,20153,GUITERA LES BAINS,R
20156001,PORTO POLLO,20156,SERRA DI FERRO,R
20160001, Cours Joseph Colonna,20160,VICO,R
20166002,Station TOTAL - Relais du Rupione,20166,PIETROSELLA,R
20166004,CTRE COMMERCIAL BENISTA,20166,GROSSETO-PRUGNA,R
20166005,Relais de la Tour,20166,PORTICCIO,R
20166006,Les Marines de Porticcio - Commune de Grosseto-Prugna,20166,PORTICCIO,R
20167002,Station TOTAL BALEONE - RN 193,20167,BALEONE,R
20167003,mezzavia centre rn 194,20090,AJACCIO,R
20167004,Route de Sagone,20167,ALATA,R
20167005,RD 31 lieu dit Manicola Vecchia,20090,AJACCIO,R
20167006,RN 194,20167,MEZZAVIA,R
20167008,gare de Mezzana,20167,SAROLLA CARCOPINO,R
20167010,N194 Route de Mezzavia,20167,Ajaccio,R
20169001,Avenue Sylvère Bohn,20169,BONIFACIO,R
20169002,sennola,20169,BONIFACIO,R
20169003,Cala Longa,20169,Bonifacio,R
20170001,Allée des Chênes,20170,Levie,R
20189001,La Rocade Finosello,20000,AJACCIO,R
20189002,VIGNETTA ROUTE DE CAMPO DELL ORO BP580,20090,Ajaccio,R
20200001,Route du Cap,20200,VILLE-DI-PIETRABUGNO,R
20200002,Avenue Jean Zuccarelli,20200,Bastia,R
20200006,37 ROUTE DU CAP,20200,SAN-MARTINO-DI-LOTA,R
20200008,21 Rue Commandant Lucé de Casabianca,20200,Bastia,R
20200011,9 Route du Cap,20200,Ville-di-Pietrabugno,R
20213003,Station TOTAL - RN 198 - FOLELLI,20213,Penta-di-Casinca,R
20213004,RN 198,20213,Penta-di-Casinca,R
20213005,Lieu-dit Querciolo,20213,Sorbo-Ocagnano,R
20214001,RUE U FONDU,20214,CALENZANA,R
20215001,ARENA,20215,Vescovato,R
20217001,Route Calvi,20217,Saint-Florent,R
20217004,centre de saint florent,20217,SAINT-FLORENT,R
20217005,Route de Patrimonio,20217,Saint-Florent,R
20218001,RTE N 193,20218,PONTE LECCIA,R
20218004,RN 197 STATION BP,20218,Morosaglia,R
20218006,RN 193,20218,PONTE LECCIA,R
20218007,RN 193,20218,Morosaglia,R
20218008,rond point de ponte leccia,20218,PONTE LECCIA,R
20219003,RT 20,20219,TATTONE,R
20220001,Avenue Paul Doumer,20220,L'Île-Rousse,R
20220002,"29, Ave Pdt Paul Doumer",20220,L'ÎLE-ROUSSE,R
20220003,AVENUE PAUL DOUMER,20220,L'Île-Rousse,R
20220004,"9, Place Paoli",20220,L'ILE ROUSSE,R
20220005,NEOULES,83136,Néoules,R
20220006,RN 197,20220,ALGAJOLA,R
20221001,PRUNETE,20221,Cervione,R
20222001,CAMPINCA,20222,Brando,R
